"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","5","0.0-0.0","1fo7gg1cl0tov5u","","","","","","","","",""
"fullscreen","1","13043","0.0-1.0","1fo7gg1cl0tov5u","true","","","","","","","",""
"html-button-response","2","15100","0.0-2.0","1fo7gg1cl0tov5u","","2055","Let's start!","0","","","","",""
"audio-keyboard-response","3","16782","0.0-3.0","1fo7gg1cl0tov5u","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","17889","0.0-4.0","1fo7gg1cl0tov5u","","1108","","0","","","","",""
"audio-keyboard-response","5","19491","0.0-5.0","1fo7gg1cl0tov5u","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","20962","0.0-6.0","1fo7gg1cl0tov5u","","1471","","0","","","","",""
"audio-keyboard-response","7","22962","0.0-7.0","1fo7gg1cl0tov5u","","null","audio/goodjob.wav","","null","","","",""
"audio-button-response","8","33055","0.0-8.0","1fo7gg1cl0tov5u","","9092","audio/norm_touch_duck.wav","0","","","","",""
"video-keyboard-response-mod","9","49464","0.0-9.0","1fo7gg1cl0tov5u","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","10","51330","0.0-10.0","1fo7gg1cl0tov5u","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","11","52742","0.0-11.0","1fo7gg1cl0tov5u","","1411","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""300px""/>","<img src=""img/4.jpg"" width=""300px""/>"
"audio-keyboard-response","12","54607","0.0-12.0","1fo7gg1cl0tov5u","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","13","55070","0.0-13.0","1fo7gg1cl0tov5u","","463","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""300px""/>","<img src=""img/4.jpg"" width=""300px""/>"
"audio-keyboard-response","14","56936","0.0-14.0","1fo7gg1cl0tov5u","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","15","57456","0.0-15.0","1fo7gg1cl0tov5u","","521","","1","","nsc-label-last","1-1","<img src=""img/4.jpg"" width=""300px""/>","<img src=""img/8.png"" width=""300px""/>"
"audio-keyboard-response","16","59322","0.0-16.0","1fo7gg1cl0tov5u","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","17","59931","0.0-17.0","1fo7gg1cl0tov5u","","609","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""300px""/>","<img src=""img/4.jpg"" width=""300px""/>"
"audio-keyboard-response","18","61932","0.0-18.0","1fo7gg1cl0tov5u","","null","audio/goodjob.wav","","null","","","",""
"audio-button-response","19","64499","0.0-19.0","1fo7gg1cl0tov5u","","1566","audio/norm_touch_fish.wav","0","","","","",""
"video-keyboard-response-mod","20","80426","0.0-20.0","1fo7gg1cl0tov5u","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","21","82293","0.0-21.0","1fo7gg1cl0tov5u","","null","audio/norm_miffle.wav","","null","","","",""
