"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","24","0.0-0.0","ff40699st4aqctv","","","","","","","","",""
"fullscreen","1","2711","0.0-1.0","ff40699st4aqctv","true","","","","","","","",""
"html-button-response","2","4502","0.0-2.0","ff40699st4aqctv","","1782","Let's start!","0","","","","",""
"audio-keyboard-response","3","6382","0.0-3.0","ff40699st4aqctv","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","7380","0.0-4.0","ff40699st4aqctv","","995","","1","","","","",""
"audio-keyboard-response","5","9086","0.0-5.0","ff40699st4aqctv","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","9548","0.0-6.0","ff40699st4aqctv","","459","","1","","","","",""
"audio-keyboard-response","7","11552","0.0-7.0","ff40699st4aqctv","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","14556","0.0-8.0","ff40699st4aqctv","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","35667","0.0-9.0","ff40699st4aqctv","","null","","","null","nsc-label-first","1-1","",""
"audio-keyboard-response","10","39544","0.0-10.0","ff40699st4aqctv","","null","audio/norm_nissle.wav","","null","","","",""
"html-button-response","11","40479","0.0-11.0","ff40699st4aqctv","","931","","0","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","12","43845","0.0-12.0","ff40699st4aqctv","","null","audio/norm_fopin.wav","","null","","","",""
"html-button-response","13","44796","0.0-13.0","ff40699st4aqctv","","950","","1","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","14","48163","0.0-14.0","ff40699st4aqctv","","null","audio/norm_fopin.wav","","null","","","",""
"html-button-response","15","48764","0.0-15.0","ff40699st4aqctv","","600.0000000000073","","1","","nsc-label-first","1-1","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />"
"audio-keyboard-response","16","52130","0.0-16.0","ff40699st4aqctv","","null","audio/norm_nissle.wav","","null","","","",""
