"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","3","0.0-0.0","m7o6hpo1kls84dg","","","","","","","","",""
"fullscreen","1","3197293","0.0-1.0","m7o6hpo1kls84dg","true","","","","","","","",""
"html-button-response","2","3199811","0.0-2.0","m7o6hpo1kls84dg","","2488.6800000099465","Let's start!","0","","","","",""
"audio-keyboard-response","3","3201623","0.0-3.0","m7o6hpo1kls84dg","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","3203888","0.0-4.0","m7o6hpo1kls84dg","","2263.569999981206","","0","","","","",""
"audio-keyboard-response","5","3205489","0.0-5.0","m7o6hpo1kls84dg","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","3205967","0.0-6.0","m7o6hpo1kls84dg","","476.43999999854714","","0","","","","",""
"audio-keyboard-response","7","3207971","0.0-7.0","m7o6hpo1kls84dg","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","3210977","0.0-8.0","m7o6hpo1kls84dg","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","3237378","0.0-9.0","m7o6hpo1kls84dg","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","10","3241244","0.0-10.0","m7o6hpo1kls84dg","","null","audio/norm_tentle.wav","","null","","","",""
"html-button-response","11","3242118","0.0-11.0","m7o6hpo1kls84dg","","872.1549999900162","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","12","3245490","0.0-12.0","m7o6hpo1kls84dg","","null","audio/norm_paegu.wav","","null","","","",""
"html-button-response","13","3245857","0.0-13.0","m7o6hpo1kls84dg","","365.60499999905005","","1","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","14","3249228","0.0-14.0","m7o6hpo1kls84dg","","null","audio/norm_tentle.wav","","null","","","",""
"html-button-response","15","3249589","0.0-15.0","m7o6hpo1kls84dg","","358.8600000073202","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","16","3252956","0.0-16.0","m7o6hpo1kls84dg","","null","audio/norm_paegu.wav","","null","","","",""
"html-button-response","17","3253232","0.0-17.0","m7o6hpo1kls84dg","","274.3999999947846","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","18","3256735","0.0-18.0","m7o6hpo1kls84dg","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","3259740","0.0-19.0","m7o6hpo1kls84dg","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","20","3290078","0.0-20.0","m7o6hpo1kls84dg","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","21","3293949","0.0-21.0","m7o6hpo1kls84dg","","null","audio/norm_klefu.wav","","null","","","",""
"html-button-response","22","4112499","0.0-22.0","m7o6hpo1kls84dg","","818520.7349999985","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","23","4115966","0.0-23.0","m7o6hpo1kls84dg","","null","audio/norm_jimo.wav","","null","","","",""
"html-button-response","24","4116335","0.0-24.0","m7o6hpo1kls84dg","","359.375","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","25","4120937","0.0-25.0","m7o6hpo1kls84dg","","null","audio/norm_jimo.wav","","null","","","",""
