"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","button_pressed","key_press","condition","button0","button1"
"pavlovia","0","3","0.0-0.0","l4po4elaj4qawf9","","","","","","",""
"html-button-response","1","3555","0.0-1.0","l4po4elaj4qawf9","3550.9299999976065","Let's start!","0","","","",""
"audio-keyboard-response","2","5159","0.0-2.0","l4po4elaj4qawf9","null","audio/puppy.mp3","","null","","",""
"html-button-response","3","5388","0.0-3.0","l4po4elaj4qawf9","228.15499999705935","","0","","","",""
"audio-keyboard-response","4","7069","0.0-4.0","l4po4elaj4qawf9","null","audio/apple.mp3","","null","","",""
"html-button-response","5","7436","0.0-5.0","l4po4elaj4qawf9","366.52999999932945","","0","","","",""
"audio-keyboard-response","6","9437","0.0-6.0","l4po4elaj4qawf9","null","audio/goodjob.wav","","null","","",""
"audio-button-response","7","11576","0.0-7.0","l4po4elaj4qawf9","1135.9549999979208","audio/norm_touch_duck.wav","0","","","",""
"html-keyboard-response","8","28588","0.0-8.0","l4po4elaj4qawf9","null","<img width = '20%' src='img/3.jpg'/><video width = '33%' playsinline autoplay src='video/tentle-paegu-1.mp4' type='video/mp4'></video><img width = '20%' src='img/7.png'/>","","null","sc-label-last","",""
"audio-keyboard-response","9","30450","0.0-9.0","l4po4elaj4qawf9","null","audio/norm_paegu.wav","","null","","",""
"html-button-response","10","31603","0.0-10.0","l4po4elaj4qawf9","1151.8099999957485","","1","","sc-label-first","<img src=""img/3.jpg"" width=""250px""/>","<img src=""img/7.png"" width=""250px""/>"
"audio-keyboard-response","11","33469","0.0-11.0","l4po4elaj4qawf9","null","audio/norm_paegu.wav","","null","","",""
"html-button-response","12","33716","0.0-12.0","l4po4elaj4qawf9","246.93000000115717","","0","","sc-label-first","<img src=""img/7.png"" width=""250px""/>","<img src=""img/3.jpg"" width=""250px""/>"
"audio-keyboard-response","13","35581","0.0-13.0","l4po4elaj4qawf9","null","audio/norm_tentle.wav","","null","","",""
"html-button-response","14","35697","0.0-14.0","l4po4elaj4qawf9","114.94500000117114","","0","","sc-label-first","<img src=""img/3.jpg"" width=""250px""/>","<img src=""img/7.png"" width=""250px""/>"
"audio-keyboard-response","15","37560","0.0-15.0","l4po4elaj4qawf9","null","audio/norm_tentle.wav","","null","","",""
"html-button-response","16","37834","0.0-16.0","l4po4elaj4qawf9","273.9450000008219","","0","","sc-label-first","<img src=""img/3.jpg"" width=""250px""/>","<img src=""img/7.png"" width=""250px""/>"
"audio-keyboard-response","17","39835","0.0-17.0","l4po4elaj4qawf9","null","audio/goodjob.wav","","null","","",""
"audio-button-response","18","42604","0.0-18.0","l4po4elaj4qawf9","1767.6399999982095","audio/norm_touch_fish.wav","0","","","",""
"html-keyboard-response","19","59609","0.0-19.0","l4po4elaj4qawf9","null","<img width = '20%' src='img/11.jpeg'/><video width = '33%' playsinline autoplay src='video/klefu-jimo-1.mp4' type='video/mp4'></video><img width = '20%' src='img/10.png'/>","","null","sc-label-last","",""
"audio-keyboard-response","20","61475","0.0-20.0","l4po4elaj4qawf9","null","audio/norm_jimo.wav","","null","","",""
