"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","button_pressed","key_press","condition","button0","button1"
"pavlovia","0","2","0.0-0.0","1hhgn7hkp3xmjts","","","","","","",""
"html-button-response","1","2498","0.0-1.0","1hhgn7hkp3xmjts","2494.735000014771","Let's start!","0","","","",""
"audio-button-response","2","7725","0.0-2.0","1hhgn7hkp3xmjts","5224.2450000485405","audio/apple.wav","0","","","",""
"audio-button-response","3","10173","0.0-3.0","1hhgn7hkp3xmjts","2444.424999994226","audio/puppy.wav","1","","","",""
"audio-keyboard-response","4","12176","0.0-4.0","1hhgn7hkp3xmjts","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","5","28184","0.0-5.0","1hhgn7hkp3xmjts","null","<img width = '20%' src='img/12.jpg'/><video width = '33%' autoplay src='video/miffle-zibo-4.mp4' type='video/mp4'></video><img width = '20%' src='img/16.png'/>","","null","nsc-label-last","",""
"audio-button-response","6","30619","0.0-6.0","1hhgn7hkp3xmjts","2432.0799999986775","audio/norm_miffle.wav","0","","nsc-label-last","img/12.jpg","img/16.png"
"audio-button-response","7","33312","0.0-7.0","1hhgn7hkp3xmjts","2690.5850000330247","audio/norm_miffle.wav","1","","nsc-label-last","img/16.png","img/12.jpg"
"audio-button-response","8","36104","0.0-8.0","1hhgn7hkp3xmjts","2789.969999983441","audio/norm_zibo.wav","0","","nsc-label-last","img/16.png","img/12.jpg"
"audio-button-response","9","46848","0.0-9.0","1hhgn7hkp3xmjts","10741.500000003725","audio/norm_zibo.wav","1","","nsc-label-last","img/16.png","img/12.jpg"
"html-keyboard-response","10","62851","0.0-10.0","1hhgn7hkp3xmjts","null","<img width = '20%' src='img/4.jpg'/><video width = '33%' autoplay src='video/reko-vugim-4.mp4' type='video/mp4'></video><img width = '20%' src='img/8.png'/>","","null","nsc-label-last","",""
"audio-button-response","11","67339","0.0-11.0","1hhgn7hkp3xmjts","4486.424999951851","audio/norm_reko.wav","1","","nsc-label-last","img/8.png","img/4.jpg"
"audio-button-response","12","71423","0.0-12.0","1hhgn7hkp3xmjts","4082.3850000160746","audio/norm_vugim.wav","0","","nsc-label-last","img/8.png","img/4.jpg"
"audio-button-response","13","73696","0.0-13.0","1hhgn7hkp3xmjts","2270.4200000152923","audio/norm_reko.wav","0","","nsc-label-last","img/4.jpg","img/8.png"
"audio-button-response","14","76011","0.0-14.0","1hhgn7hkp3xmjts","2312.9600000102073","audio/norm_vugim.wav","1","","nsc-label-last","img/4.jpg","img/8.png"
"audio-keyboard-response","15","78013","0.0-15.0","1hhgn7hkp3xmjts","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","16","94019","0.0-16.0","1hhgn7hkp3xmjts","null","<img width = '20%' src='img/3.jpg'/><video width = '33%' autoplay src='video/tentle-paegu-1.mp4' type='video/mp4'></video><img width = '20%' src='img/7.png'/>","","null","sc-label-last","",""
