"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"html-button-response","61","212452","0.0-61.0","q7cwpccpkscfrr4","","901","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","62","215956","0.0-62.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","63","234135","0.0-63.0","q7cwpccpkscfrr4","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","64","237972","0.0-64.0","q7cwpccpkscfrr4","","null","audio/norm_vugim.m4a","","null","","","",""
"html-button-response","65","239003","0.0-65.0","q7cwpccpkscfrr4","","1027","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","66","242340","0.0-66.0","q7cwpccpkscfrr4","","null","audio/norm_vugim.m4a","","null","","","",""
"html-button-response","67","243471","0.0-67.0","q7cwpccpkscfrr4","","1128.000000000029","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","68","246838","0.0-68.0","q7cwpccpkscfrr4","","null","audio/norm_reko.m4a","","null","","","",""
"html-button-response","69","247603","0.0-69.0","q7cwpccpkscfrr4","","762","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","70","250975","0.0-70.0","q7cwpccpkscfrr4","","null","audio/norm_reko.m4a","","null","","","",""
"html-button-response","71","251439","0.0-71.0","q7cwpccpkscfrr4","","455","","0","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","72","254945","0.0-72.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","73","257949","0.0-73.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","74","274801","0.0-74.0","q7cwpccpkscfrr4","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","75","278667","0.0-75.0","q7cwpccpkscfrr4","","null","audio/norm_jimo.m4a","","null","","","",""
"html-button-response","76","280272","0.0-76.0","q7cwpccpkscfrr4","","1601.0000000000582","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","77","283638","0.0-77.0","q7cwpccpkscfrr4","","null","audio/norm_klefu.m4a","","null","","","",""
"html-button-response","78","285122","0.0-78.0","q7cwpccpkscfrr4","","1482.0000000000582","","0","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","79","288488","0.0-79.0","q7cwpccpkscfrr4","","null","audio/norm_jimo.m4a","","null","","","",""
"html-button-response","80","290574","0.0-80.0","q7cwpccpkscfrr4","","2078","","0","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","81","293942","0.0-81.0","q7cwpccpkscfrr4","","null","audio/norm_klefu.m4a","","null","","","",""
"html-button-response","82","297091","0.0-82.0","q7cwpccpkscfrr4","","3146","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","83","300595","0.0-83.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","84","303599","0.0-84.0","q7cwpccpkscfrr4","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","85","323082","0.0-85.0","q7cwpccpkscfrr4","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","86","326949","0.0-86.0","q7cwpccpkscfrr4","","null","audio/norm_paegu.m4a","","null","","","",""
"html-button-response","87","328807","0.0-87.0","q7cwpccpkscfrr4","","1828","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","88","332140","0.0-88.0","q7cwpccpkscfrr4","","null","audio/norm_tentle.m4a","","null","","","",""
"html-button-response","89","333158","0.0-89.0","q7cwpccpkscfrr4","","1016","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","90","336533","0.0-90.0","q7cwpccpkscfrr4","","null","audio/norm_paegu.m4a","","null","","","",""
"html-button-response","91","337842","0.0-91.0","q7cwpccpkscfrr4","","1306","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","92","341162","0.0-92.0","q7cwpccpkscfrr4","","null","audio/norm_tentle.m4a","","null","","","",""
"html-button-response","93","341925","0.0-93.0","q7cwpccpkscfrr4","","760","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","94","345429","0.0-94.0","q7cwpccpkscfrr4","","null","audio/goodjob.wav","","null","","","",""
"image-keyboard-response","95","348436","0.0-95.0","q7cwpccpkscfrr4","","null","img/welldone.jpg","","null","","","",""
