"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","3","0.0-0.0","3dor4boftseh19k","","","","","","","","",""
"fullscreen","1","2851","0.0-1.0","3dor4boftseh19k","true","","","","","","","",""
"html-button-response","2","9834","0.0-2.0","3dor4boftseh19k","","6975.000000000001","Let's start!","0","","","","",""
"audio-keyboard-response","3","11612","0.0-3.0","3dor4boftseh19k","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","16139","0.0-4.0","3dor4boftseh19k","","4524","","0","","","","",""
"audio-keyboard-response","5","17845","0.0-5.0","3dor4boftseh19k","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","21062","0.0-6.0","3dor4boftseh19k","","3214","","0","","","","",""
"audio-keyboard-response","7","23066","0.0-7.0","3dor4boftseh19k","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","26070","0.0-8.0","3dor4boftseh19k","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","47312","0.0-9.0","3dor4boftseh19k","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","10","51178","0.0-10.0","3dor4boftseh19k","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","11","56484","0.0-11.0","3dor4boftseh19k","","5303.000000000007","","0","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","12","59854","0.0-12.0","3dor4boftseh19k","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","13","66100","0.0-13.0","3dor4boftseh19k","","6243","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","14","69466","0.0-14.0","3dor4boftseh19k","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","15","73144","0.0-15.0","3dor4boftseh19k","","3676","","0","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","16","76511","0.0-16.0","3dor4boftseh19k","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","17","81153","0.0-17.0","3dor4boftseh19k","","4640","","1","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","18","84656","0.0-18.0","3dor4boftseh19k","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","19","104474","0.0-19.0","3dor4boftseh19k","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","20","108345","0.0-20.0","3dor4boftseh19k","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","21","113010","0.0-21.0","3dor4boftseh19k","","4662.000000000015","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","22","116377","0.0-22.0","3dor4boftseh19k","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","23","122559","0.0-23.0","3dor4boftseh19k","","6180","","1","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","24","125923","0.0-24.0","3dor4boftseh19k","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","25","129301","0.0-25.0","3dor4boftseh19k","","3376","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","26","132670","0.0-26.0","3dor4boftseh19k","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","27","136028","0.0-27.0","3dor4boftseh19k","","3353","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","28","139533","0.0-28.0","3dor4boftseh19k","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","29","142537","0.0-29.0","3dor4boftseh19k","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","30","164196","0.0-30.0","3dor4boftseh19k","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","31","168064","0.0-31.0","3dor4boftseh19k","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","32","175377","0.0-32.0","3dor4boftseh19k","","7308","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","33","178744","0.0-33.0","3dor4boftseh19k","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","34","183300","0.0-34.0","3dor4boftseh19k","","4554","","1","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
"audio-keyboard-response","35","186666","0.0-35.0","3dor4boftseh19k","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","36","192105","0.0-36.0","3dor4boftseh19k","","5437","","1","","sc-label-last","1-1","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />"
