"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","button_pressed","key_press","condition","button0","button1"
"pavlovia","0","6","0.0-0.0","u00tka8ucmcryzf","","","","","","",""
"html-button-response","1","1511","0.0-1.0","u00tka8ucmcryzf","1505","Let's start!","0","","","",""
"audio-keyboard-response","2","3194","0.0-2.0","u00tka8ucmcryzf","null","audio/apple.mp3","","null","","",""
"html-button-response","3","3344","0.0-3.0","u00tka8ucmcryzf","149","","0","","","",""
"audio-keyboard-response","4","4945","0.0-4.0","u00tka8ucmcryzf","null","audio/puppy.mp3","","null","","",""
"html-button-response","5","5021","0.0-5.0","u00tka8ucmcryzf","73","","0","","","",""
"audio-keyboard-response","6","7021","0.0-6.0","u00tka8ucmcryzf","null","audio/goodjob.wav","","null","","",""
"audio-button-response","7","9754","0.0-7.0","u00tka8ucmcryzf","1734","audio/norm_touch_kitty.wav","0","","","",""
"html-keyboard-response","8","26756","0.0-8.0","u00tka8ucmcryzf","null","<img width = '20%' src='img/11.jpeg'/><video width = '33%' playsinline autoplay src='video/klefu-jimo-4.mp4' type='video/mp4'></video><img width = '20%' src='img/10.png'/>","","null","sc-label-last","",""
"audio-keyboard-response","9","28621","0.0-9.0","u00tka8ucmcryzf","null","audio/norm_jimo.wav","","null","","",""
"html-button-response","10","30281","0.0-10.0","u00tka8ucmcryzf","1660","","1","","sc-label-first","<img src=""img/11.jpeg"" width=""250px""/>","<img src=""img/10.png"" width=""250px""/>"
"audio-keyboard-response","11","32148","0.0-11.0","u00tka8ucmcryzf","null","audio/norm_klefu.wav","","null","","",""
"html-button-response","12","32644","0.0-12.0","u00tka8ucmcryzf","495","","0","","sc-label-first","<img src=""img/11.jpeg"" width=""250px""/>","<img src=""img/10.png"" width=""250px""/>"
"audio-keyboard-response","13","34510","0.0-13.0","u00tka8ucmcryzf","null","audio/norm_klefu.wav","","null","","",""
"html-button-response","14","35332","0.0-14.0","u00tka8ucmcryzf","821","","1","","sc-label-first","<img src=""img/10.png"" width=""250px""/>","<img src=""img/11.jpeg"" width=""250px""/>"
"audio-keyboard-response","15","37198","0.0-15.0","u00tka8ucmcryzf","null","audio/norm_jimo.wav","","null","","",""
"html-button-response","16","37648","0.0-16.0","u00tka8ucmcryzf","450","","0","","sc-label-first","<img src=""img/10.png"" width=""250px""/>","<img src=""img/11.jpeg"" width=""250px""/>"
"audio-keyboard-response","17","39653","0.0-17.0","u00tka8ucmcryzf","null","audio/goodjob.wav","","null","","",""
"audio-button-response","18","42204","0.0-18.0","u00tka8ucmcryzf","1549","audio/norm_touch_bunny.wav","0","","","",""
