"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"audio-keyboard-response","49","185822","0.0-49.0","lssj5lhuy9ljuhn","","null","audio/norm_tentle.wav","","null","","","",""
"html-button-response","50","186514","0.0-50.0","lssj5lhuy9ljuhn","","690","","1","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","51","190022","0.0-51.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","52","193030","0.0-52.0","lssj5lhuy9ljuhn","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","53","210367","0.0-53.0","lssj5lhuy9ljuhn","","null","","","null","","","nsc-label-last","1-1"
"audio-keyboard-response","54","214236","0.0-54.0","lssj5lhuy9ljuhn","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","55","219799","0.0-55.0","lssj5lhuy9ljuhn","","5559","","1","","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","56","223165","0.0-56.0","lssj5lhuy9ljuhn","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","57","224189","0.0-57.0","lssj5lhuy9ljuhn","","1020","","1","","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","58","227554","0.0-58.0","lssj5lhuy9ljuhn","","null","audio/norm_vugim.wav","","null","","","",""
"html-button-response","59","228462","0.0-59.0","lssj5lhuy9ljuhn","","906","","1","","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","60","231824","0.0-60.0","lssj5lhuy9ljuhn","","null","audio/norm_reko.wav","","null","","","",""
"html-button-response","61","232571","0.0-61.0","lssj5lhuy9ljuhn","","744","","1","","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","62","236075","0.0-62.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","63","239078","0.0-63.0","lssj5lhuy9ljuhn","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","64","256180","0.0-64.0","lssj5lhuy9ljuhn","","null","","","null","","","nsc-label-last","1-1"
"audio-keyboard-response","65","260046","0.0-65.0","lssj5lhuy9ljuhn","","null","audio/norm_zibo.wav","","null","","","",""
"html-button-response","66","261167","0.0-66.0","lssj5lhuy9ljuhn","","1118.9999999999418","","1","","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","67","264538","0.0-67.0","lssj5lhuy9ljuhn","","null","audio/norm_miffle.wav","","null","","","",""
"html-button-response","68","265526","0.0-68.0","lssj5lhuy9ljuhn","","982","","0","","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","69","268894","0.0-69.0","lssj5lhuy9ljuhn","","null","audio/norm_miffle.wav","","null","","","",""
"html-button-response","70","269743","0.0-70.0","lssj5lhuy9ljuhn","","847","","1","","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","71","273108","0.0-71.0","lssj5lhuy9ljuhn","","null","audio/norm_zibo.wav","","null","","","",""
"html-button-response","72","273891","0.0-72.0","lssj5lhuy9ljuhn","","781","","1","","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />","nsc-label-last","1-1"
"audio-keyboard-response","73","277396","0.0-73.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","74","280405","0.0-74.0","lssj5lhuy9ljuhn","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","75","297528","0.0-75.0","lssj5lhuy9ljuhn","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","76","301400","0.0-76.0","lssj5lhuy9ljuhn","","null","audio/norm_dakup.wav","","null","","","",""
"html-button-response","77","302225","0.0-77.0","lssj5lhuy9ljuhn","","823","","1","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","78","305590","0.0-78.0","lssj5lhuy9ljuhn","","null","audio/norm_dakup.wav","","null","","","",""
"html-button-response","79","306945","0.0-79.0","lssj5lhuy9ljuhn","","1352","","1","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","80","310310","0.0-80.0","lssj5lhuy9ljuhn","","null","audio/norm_chamu.wav","","null","","","",""
"html-button-response","81","311069","0.0-81.0","lssj5lhuy9ljuhn","","757","","0","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","82","314432","0.0-82.0","lssj5lhuy9ljuhn","","null","audio/norm_chamu.wav","","null","","","",""
"html-button-response","83","315050","0.0-83.0","lssj5lhuy9ljuhn","","615","","0","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","84","318557","0.0-84.0","lssj5lhuy9ljuhn","","null","audio/goodjob.wav","","null","","","",""
