"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","button0","button1","condition","order"
"pavlovia","0","6","0.0-0.0","fm8l2t84k1mndc6","","","","","","","","",""
"fullscreen","1","3738","0.0-1.0","fm8l2t84k1mndc6","true","","","","","","","",""
"html-button-response","2","18225","0.0-2.0","fm8l2t84k1mndc6","","14477.000000000004","Let's start!","0","","","","",""
"audio-keyboard-response","3","19981","0.0-3.0","fm8l2t84k1mndc6","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","21769","0.0-4.0","fm8l2t84k1mndc6","","1786","","1","","<img src=""img/puppy.png"" width=""40%"" />","<img src=""img/apple.png"" width=""40%"" />","",""
"audio-keyboard-response","5","23473","0.0-5.0","fm8l2t84k1mndc6","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","24722","0.0-6.0","fm8l2t84k1mndc6","","1245.9999999999964","","0","","<img src=""img/apple.png"" width=""40%"" />","<img src=""img/puppy.png"" width=""40%"" />","",""
"audio-keyboard-response","7","26725","0.0-7.0","fm8l2t84k1mndc6","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","8","29729","0.0-8.0","fm8l2t84k1mndc6","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","47916","0.0-9.0","fm8l2t84k1mndc6","","null","","","null","","","sc-label-last","1-1"
"audio-keyboard-response","10","51782","0.0-10.0","fm8l2t84k1mndc6","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","11","53040","0.0-11.0","fm8l2t84k1mndc6","","1256","","1","","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","12","56406","0.0-12.0","fm8l2t84k1mndc6","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","13","58112","0.0-13.0","fm8l2t84k1mndc6","","1705","","1","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","14","61478","0.0-14.0","fm8l2t84k1mndc6","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","15","63147","0.0-15.0","fm8l2t84k1mndc6","","1668.0000000000073","","0","","<img src=""img/11.png"" width=""40%"" />","<img src=""img/10.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","16","66512","0.0-16.0","fm8l2t84k1mndc6","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","17","68193","0.0-17.0","fm8l2t84k1mndc6","","1680.0000000000146","","1","","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","18","71697","0.0-18.0","fm8l2t84k1mndc6","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","19","74699","0.0-19.0","fm8l2t84k1mndc6","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","20","92254","0.0-20.0","fm8l2t84k1mndc6","","null","","","null","","","sc-label-last","1-1"
"audio-keyboard-response","21","96122","0.0-21.0","fm8l2t84k1mndc6","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","22","97146","0.0-22.0","fm8l2t84k1mndc6","","1022","","1","","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","23","100511","0.0-23.0","fm8l2t84k1mndc6","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","24","101395","0.0-24.0","fm8l2t84k1mndc6","","882","","1","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","25","104764","0.0-25.0","fm8l2t84k1mndc6","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","26","106247","0.0-26.0","fm8l2t84k1mndc6","","1481","","0","","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","27","109613","0.0-27.0","fm8l2t84k1mndc6","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","28","110742","0.0-28.0","fm8l2t84k1mndc6","","1128","","0","","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />","sc-label-last","1-1"
"audio-keyboard-response","29","114246","0.0-29.0","fm8l2t84k1mndc6","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","30","117248","0.0-30.0","fm8l2t84k1mndc6","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","31","134399","0.0-31.0","fm8l2t84k1mndc6","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","32","138268","0.0-32.0","fm8l2t84k1mndc6","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","33","139764","0.0-33.0","fm8l2t84k1mndc6","","1492.999999999971","","1","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","34","143129","0.0-34.0","fm8l2t84k1mndc6","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","35","143926","0.0-35.0","fm8l2t84k1mndc6","","796","","0","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","36","147292","0.0-36.0","fm8l2t84k1mndc6","","null","audio/norm_chamu.mp3","","null","","","",""
"html-button-response","37","148731","0.0-37.0","fm8l2t84k1mndc6","","1438","","0","","<img src=""img/14.png"" width=""40%"" />","<img src=""img/13.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","38","152097","0.0-38.0","fm8l2t84k1mndc6","","null","audio/norm_dakup.mp3","","null","","","",""
"html-button-response","39","153811","0.0-39.0","fm8l2t84k1mndc6","","1713","","0","","<img src=""img/13.png"" width=""40%"" />","<img src=""img/14.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","40","157316","0.0-40.0","fm8l2t84k1mndc6","","null","audio/goodjob.mp3","","null","","","",""
"audio-keyboard-response","41","160319","0.0-41.0","fm8l2t84k1mndc6","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","42","177876","0.0-42.0","fm8l2t84k1mndc6","","null","","","null","","","nsc-label-first","1-1"
"audio-keyboard-response","43","181743","0.0-43.0","fm8l2t84k1mndc6","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","44","183891","0.0-44.0","fm8l2t84k1mndc6","","2146","","1","","<img src=""img/2.png"" width=""40%"" />","<img src=""img/6.png"" width=""40%"" />","nsc-label-first","1-1"
"audio-keyboard-response","45","187256","0.0-45.0","fm8l2t84k1mndc6","","null","audio/norm_fopin.mp3","","null","","","",""
"html-button-response","46","188377","0.0-46.0","fm8l2t84k1mndc6","","1119","","1","","<img src=""img/6.png"" width=""40%"" />","<img src=""img/2.png"" width=""40%"" />","nsc-label-first","1-1"
