"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","button_pressed","key_press","condition","button0","button1"
"pavlovia","0","12","0.0-0.0","rxps1wn4z22nayp","","","","","","",""
"html-button-response","1","10429","0.0-1.0","rxps1wn4z22nayp","10415","Let's start!","0","","","",""
"audio-button-response","2","35009","0.0-2.0","rxps1wn4z22nayp","24577","audio/apple.wav","1","","","",""
"audio-button-response","3","39247","0.0-3.0","rxps1wn4z22nayp","4236","audio/puppy.wav","1","","","",""
"audio-keyboard-response","4","41250","0.0-4.0","rxps1wn4z22nayp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","5","57263","0.0-5.0","rxps1wn4z22nayp","null","<img width = '20%' src='img/3.jpg'/><video width = '33%' autoplay src='video/tentle-paegu-4.mp4' type='video/mp4'></video><img width = '20%' src='img/7.png'/>","","null","sc-label-last","",""
"audio-button-response","6","59462","0.0-6.0","rxps1wn4z22nayp","2198","audio/norm_paegu.wav","1","","sc-label-last","img/3.jpg","img/7.png"
"audio-button-response","7","61067","0.0-7.0","rxps1wn4z22nayp","1604","audio/norm_tentle.wav","1","","sc-label-last","img/7.png","img/3.jpg"
"audio-button-response","8","111487","0.0-8.0","rxps1wn4z22nayp","50418","audio/norm_tentle.wav","0","","sc-label-last","img/7.png","img/3.jpg"
"audio-button-response","9","114219","0.0-9.0","rxps1wn4z22nayp","2732","audio/norm_paegu.wav","0","","sc-label-last","img/7.png","img/3.jpg"
"audio-keyboard-response","10","116224","0.0-10.0","rxps1wn4z22nayp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","11","132228","0.0-11.0","rxps1wn4z22nayp","null","<img width = '20%' src='img/11.jpeg'/><video width = '33%' autoplay src='video/klefu-jimo-1.mp4' type='video/mp4'></video><img width = '20%' src='img/10.png'/>","","null","sc-label-last","",""
"audio-button-response","12","284788","0.0-12.0","rxps1wn4z22nayp","152556","audio/norm_jimo.wav","1","","sc-label-last","img/11.jpeg","img/10.png"
"audio-button-response","13","287017","0.0-13.0","rxps1wn4z22nayp","2228","audio/norm_klefu.wav","1","","sc-label-last","img/10.png","img/11.jpeg"
"audio-button-response","14","288162","0.0-14.0","rxps1wn4z22nayp","1143","audio/norm_klefu.wav","1","","sc-label-last","img/10.png","img/11.jpeg"
"audio-button-response","15","289074","0.0-15.0","rxps1wn4z22nayp","913","audio/norm_jimo.wav","1","","sc-label-last","img/11.jpeg","img/10.png"
"audio-keyboard-response","16","291079","0.0-16.0","rxps1wn4z22nayp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","17","307083","0.0-17.0","rxps1wn4z22nayp","null","<img width = '20%' src='img/13.png'/><video width = '33%' autoplay src='video/chamu-dakup-1.mp4' type='video/mp4'></video><img width = '20%' src='img/14.png'/>","","null","nsc-label-first","",""
"audio-button-response","18","312011","0.0-18.0","rxps1wn4z22nayp","4928","audio/norm_chamu.wav","1","","nsc-label-first","img/14.png","img/13.png"
"audio-button-response","19","312464","0.0-19.0","rxps1wn4z22nayp","452","audio/norm_dakup.wav","1","","nsc-label-first","img/13.png","img/14.png"
"audio-button-response","20","312892","0.0-20.0","rxps1wn4z22nayp","428","audio/norm_dakup.wav","1","","nsc-label-first","img/14.png","img/13.png"
"audio-button-response","21","313311","0.0-21.0","rxps1wn4z22nayp","420","audio/norm_chamu.wav","1","","nsc-label-first","img/13.png","img/14.png"
"audio-keyboard-response","22","315315","0.0-22.0","rxps1wn4z22nayp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","23","331322","0.0-23.0","rxps1wn4z22nayp","null","<img width = '20%' src='img/2.jpg'/><video width = '33%' autoplay src='video/fopin-nissle-1.mp4' type='video/mp4'></video><img width = '20%' src='img/6.jpg'/>","","null","nsc-label-first","",""
