"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press"
"pavlovia","0","16","0.0-0.0","fjy8twh7qsmxsw1","","","","",""
"fullscreen","1","1986","0.0-1.0","fjy8twh7qsmxsw1","true","","","",""
"html-button-response","2","3089","0.0-2.0","fjy8twh7qsmxsw1","","1098","Let's start!","0",""
"audio-keyboard-response","3","4982","0.0-3.0","fjy8twh7qsmxsw1","","null","audio/apple.mp3","","null"
"html-button-response","4","5711","0.0-4.0","fjy8twh7qsmxsw1","","727","","0",""
"audio-keyboard-response","5","7344","0.0-5.0","fjy8twh7qsmxsw1","","null","audio/puppy.mp3","","null"
"html-button-response","6","8727","0.0-6.0","fjy8twh7qsmxsw1","","1382","","0",""
"audio-keyboard-response","7","10732","0.0-7.0","fjy8twh7qsmxsw1","","null","audio/goodjob.wav","","null"
