"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","4","0.0-0.0","d6x9kc03xd30var","","","","","","","","",""
"fullscreen","1","2187","0.0-1.0","d6x9kc03xd30var","true","","","","","","","",""
"html-button-response","2","4193","0.0-2.0","d6x9kc03xd30var","","2004.2200000025332","Let's start!","0","","","","",""
"audio-keyboard-response","3","5873","0.0-3.0","d6x9kc03xd30var","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","5974","0.0-4.0","d6x9kc03xd30var","","99.99499999685213","","1","","","","",""
"audio-keyboard-response","5","7574","0.0-5.0","d6x9kc03xd30var","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","8230","0.0-6.0","d6x9kc03xd30var","","654.0950000053272","","0","","","","",""
"audio-keyboard-response","7","10232","0.0-7.0","d6x9kc03xd30var","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","13238","0.0-8.0","d6x9kc03xd30var","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","31564","0.0-9.0","d6x9kc03xd30var","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","10","35436","0.0-10.0","d6x9kc03xd30var","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","11","35974","0.0-11.0","d6x9kc03xd30var","","536.4249999984168","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","12","39345","0.0-12.0","d6x9kc03xd30var","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","13","39632","0.0-13.0","d6x9kc03xd30var","","285.9349999926053","","1","","sc-label-first","1-1","<img src=""img/15.png"" width=""40%"" />","<img src=""img/9.png"" width=""40%"" />"
"audio-keyboard-response","14","43004","0.0-14.0","d6x9kc03xd30var","","null","audio/norm_gazzer.wav","","null","","","",""
"html-button-response","15","44093","0.0-15.0","d6x9kc03xd30var","","1087.585000001127","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","16","47457","0.0-16.0","d6x9kc03xd30var","","null","audio/norm_numo.wav","","null","","","",""
"html-button-response","17","47986","0.0-17.0","d6x9kc03xd30var","","527.5150000234134","","1","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","18","51491","0.0-18.0","d6x9kc03xd30var","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","54497","0.0-19.0","d6x9kc03xd30var","","null","audio/norm_touch_duck.wav","","null","","","",""
