"trial_type","trial_index","time_elapsed","internal_node_id","subject","rt","stimulus","button_pressed","key_press","condition","button0","button1"
"pavlovia","0","5","0.0-0.0","rnkan3txwd3qmkp","","","","","","",""
"html-button-response","1","1202","0.0-1.0","rnkan3txwd3qmkp","1195","Let's start!","0","","","",""
"audio-button-response","2","7850","0.0-2.0","rnkan3txwd3qmkp","6647","audio/apple.wav","0","","","",""
"audio-button-response","3","9583","0.0-3.0","rnkan3txwd3qmkp","1731","audio/puppy.wav","0","","","",""
"audio-keyboard-response","4","11587","0.0-4.0","rnkan3txwd3qmkp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","5","27594","0.0-5.0","rnkan3txwd3qmkp","null","<img width = '20%' src='img/2.jpg'/><video width = '33%' autoplay src='video/fopin-nissle-4.mp4' type='video/mp4'></video><img width = '20%' src='img/6.jpg'/>","","null","nsc-label-first","",""
"audio-button-response","6","30822","0.0-6.0","rnkan3txwd3qmkp","3227","audio/norm_fopin.wav","0","","nsc-label-first","img/2.jpg","img/6.jpg"
"audio-button-response","7","33106","0.0-7.0","rnkan3txwd3qmkp","2283","audio/norm_nissle.wav","1","","nsc-label-first","img/2.jpg","img/6.jpg"
"audio-button-response","8","35311","0.0-8.0","rnkan3txwd3qmkp","2204","audio/norm_fopin.wav","1","","nsc-label-first","img/6.jpg","img/2.jpg"
"audio-button-response","9","37460","0.0-9.0","rnkan3txwd3qmkp","2149","audio/norm_nissle.wav","0","","nsc-label-first","img/6.jpg","img/2.jpg"
"audio-keyboard-response","10","39461","0.0-10.0","rnkan3txwd3qmkp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","11","55463","0.0-11.0","rnkan3txwd3qmkp","null","<img width = '20%' src='img/13.png'/><video width = '33%' autoplay src='video/chamu-dakup-1.mp4' type='video/mp4'></video><img width = '20%' src='img/14.png'/>","","null","nsc-label-first","",""
"audio-button-response","12","60602","0.0-12.0","rnkan3txwd3qmkp","5138","audio/norm_dakup.wav","0","","nsc-label-first","img/14.png","img/13.png"
"audio-button-response","13","63156","0.0-13.0","rnkan3txwd3qmkp","2553","audio/norm_dakup.wav","1","","nsc-label-first","img/13.png","img/14.png"
"audio-button-response","14","65192","0.0-14.0","rnkan3txwd3qmkp","2035","audio/norm_chamu.wav","1","","nsc-label-first","img/14.png","img/13.png"
"audio-button-response","15","66496","0.0-15.0","rnkan3txwd3qmkp","1304","audio/norm_chamu.wav","0","","nsc-label-first","img/13.png","img/14.png"
"audio-keyboard-response","16","68499","0.0-16.0","rnkan3txwd3qmkp","null","audio/goodjob.wav","","null","","",""
"html-keyboard-response","17","73742","0.0-17.0","rnkan3txwd3qmkp","5240","<img width = '20%' src='img/1.jpeg'/><video width = '33%' autoplay src='video/blicket-toma-1.mp4' type='video/mp4'></video><img width = '20%' src='img/5.jpg'/>","","224","sc-label-first","",""
