"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","9","0.0-0.0","mtyyl4jotko0vrg","","","","","","","","",""
"fullscreen","1","2197","0.0-1.0","mtyyl4jotko0vrg","true","","","","","","","",""
"html-button-response","2","3328","0.0-2.0","mtyyl4jotko0vrg","","1126","Let's start!","0","","","","",""
"audio-keyboard-response","3","5355","0.0-3.0","mtyyl4jotko0vrg","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","4","6109","0.0-4.0","mtyyl4jotko0vrg","","750.9999999999991","","1","","","","",""
"audio-keyboard-response","5","7816","0.0-5.0","mtyyl4jotko0vrg","","null","audio/apple.mp3","","null","","","",""
"html-button-response","6","8323","0.0-6.0","mtyyl4jotko0vrg","","505","","1","","","","",""
"audio-keyboard-response","7","10332","0.0-7.0","mtyyl4jotko0vrg","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","13335","0.0-8.0","mtyyl4jotko0vrg","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","9","32587","0.0-9.0","mtyyl4jotko0vrg","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","10","36496","0.0-10.0","mtyyl4jotko0vrg","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","11","37940","0.0-11.0","mtyyl4jotko0vrg","","1437","","0","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","12","41353","0.0-12.0","mtyyl4jotko0vrg","","null","audio/norm_paegu.mp3","","null","","","",""
"html-button-response","13","41991","0.0-13.0","mtyyl4jotko0vrg","","636.0000000000073","","1","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","14","45416","0.0-14.0","mtyyl4jotko0vrg","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","15","45959","0.0-15.0","mtyyl4jotko0vrg","","541","","1","","sc-label-last","1-1","<img src=""img/3.png"" width=""40%"" />","<img src=""img/7.png"" width=""40%"" />"
"audio-keyboard-response","16","49386","0.0-16.0","mtyyl4jotko0vrg","","null","audio/norm_tentle.mp3","","null","","","",""
"html-button-response","17","52295","0.0-17.0","mtyyl4jotko0vrg","","2903","","0","","sc-label-last","1-1","<img src=""img/7.png"" width=""40%"" />","<img src=""img/3.png"" width=""40%"" />"
"audio-keyboard-response","18","55801","0.0-18.0","mtyyl4jotko0vrg","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","19","58805","0.0-19.0","mtyyl4jotko0vrg","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","20","77360","0.0-20.0","mtyyl4jotko0vrg","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","21","81268","0.0-21.0","mtyyl4jotko0vrg","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","22","86240","0.0-22.0","mtyyl4jotko0vrg","","4968","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","23","89649","0.0-23.0","mtyyl4jotko0vrg","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","24","90279","0.0-24.0","mtyyl4jotko0vrg","","628","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","25","93689","0.0-25.0","mtyyl4jotko0vrg","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","26","94195","0.0-26.0","mtyyl4jotko0vrg","","504","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","27","97613","0.0-27.0","mtyyl4jotko0vrg","","null","audio/norm_klefu.mp3","","null","","","",""
"html-button-response","28","98161","0.0-28.0","mtyyl4jotko0vrg","","546","","1","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
"audio-keyboard-response","29","101666","0.0-29.0","mtyyl4jotko0vrg","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","30","104669","0.0-30.0","mtyyl4jotko0vrg","","null","audio/norm_touch_duck.wav","","null","","","",""
"video-keyboard-response-mod","31","121901","0.0-31.0","mtyyl4jotko0vrg","","null","","","null","sc-label-first","1-1","",""
"audio-keyboard-response","32","125812","0.0-32.0","mtyyl4jotko0vrg","","null","audio/norm_gazzer.mp3","","null","","","",""
"html-button-response","33","126849","0.0-33.0","mtyyl4jotko0vrg","","1033","","0","","sc-label-first","1-1","<img src=""img/9.png"" width=""40%"" />","<img src=""img/15.png"" width=""40%"" />"
"audio-keyboard-response","34","130257","0.0-34.0","mtyyl4jotko0vrg","","null","audio/norm_numo.mp3","","null","","","",""
