"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"audio-keyboard-response","64","285771","0.0-64.0","sh9zoc78vo60ggy","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","65","287727","0.0-65.0","sh9zoc78vo60ggy","","1953","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","66","291094","0.0-66.0","sh9zoc78vo60ggy","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","67","294534","0.0-67.0","sh9zoc78vo60ggy","","3438","","1","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","68","297899","0.0-68.0","sh9zoc78vo60ggy","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","69","299168","0.0-69.0","sh9zoc78vo60ggy","","1266","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","70","302531","0.0-70.0","sh9zoc78vo60ggy","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","71","304542","0.0-71.0","sh9zoc78vo60ggy","","2008","","0","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","72","308047","0.0-72.0","sh9zoc78vo60ggy","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","73","311050","0.0-73.0","sh9zoc78vo60ggy","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","74","329102","0.0-74.0","sh9zoc78vo60ggy","","null","","","null","sc-label-last","1-1","",""
"audio-keyboard-response","75","332973","0.0-75.0","sh9zoc78vo60ggy","","null","audio/norm_jimo.mp3","","null","","","",""
"html-button-response","76","335386","0.0-76.0","sh9zoc78vo60ggy","","2410.000000000058","","0","","sc-label-last","1-1","<img src=""img/10.png"" width=""40%"" />","<img src=""img/11.png"" width=""40%"" />"
