"trial_type","trial_index","time_elapsed","internal_node_id","subject","success","rt","stimulus","button_pressed","key_press","condition","order","button0","button1"
"pavlovia","0","8","0.0-0.0","wbwtgmamv4o4dwb","","","","","","","","",""
"fullscreen","1","6198","0.0-1.0","wbwtgmamv4o4dwb","true","","","","","","","",""
"html-button-response","2","14321","0.0-2.0","wbwtgmamv4o4dwb","","8106.599999999162","Let's start!","0","","","","",""
"audio-keyboard-response","3","16114","0.0-3.0","wbwtgmamv4o4dwb","","null","audio/apple.mp3","","null","","","",""
"html-button-response","4","20897","0.0-4.0","wbwtgmamv4o4dwb","","4775.399999998626","","0","","","","",""
"audio-keyboard-response","5","22475","0.0-5.0","wbwtgmamv4o4dwb","","null","audio/puppy.mp3","","null","","","",""
"html-button-response","6","23117","0.0-6.0","wbwtgmamv4o4dwb","","636.000000005879","","0","","","","",""
"audio-keyboard-response","7","25122","0.0-7.0","wbwtgmamv4o4dwb","","null","audio/goodjob.wav","","null","","","",""
"audio-keyboard-response","8","28127","0.0-8.0","wbwtgmamv4o4dwb","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","9","44434","0.0-9.0","wbwtgmamv4o4dwb","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","10","48314","0.0-10.0","wbwtgmamv4o4dwb","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","11","49297","0.0-11.0","wbwtgmamv4o4dwb","","976.20000000461","","1","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","12","52673","0.0-12.0","wbwtgmamv4o4dwb","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","13","54462","0.0-13.0","wbwtgmamv4o4dwb","","1780.8999999979278","","1","","nsc-label-last","1-1","<img src=""img/16.png"" width=""40%"" />","<img src=""img/12.png"" width=""40%"" />"
"audio-keyboard-response","14","57831","0.0-14.0","wbwtgmamv4o4dwb","","null","audio/norm_miffle.mp3","","null","","","",""
"html-button-response","15","58705","0.0-15.0","wbwtgmamv4o4dwb","","866.8000000034226","","1","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","16","62072","0.0-16.0","wbwtgmamv4o4dwb","","null","audio/norm_zibo.mp3","","null","","","",""
"html-button-response","17","63457","0.0-17.0","wbwtgmamv4o4dwb","","1378.6999999938416","","1","","nsc-label-last","1-1","<img src=""img/12.png"" width=""40%"" />","<img src=""img/16.png"" width=""40%"" />"
"audio-keyboard-response","18","66962","0.0-18.0","wbwtgmamv4o4dwb","","null","audio/norm_touch_duck.mp3","","null","","","",""
"video-keyboard-response-mod","19","83341","0.0-19.0","wbwtgmamv4o4dwb","","null","","","null","nsc-label-last","1-1","",""
"audio-keyboard-response","20","87191","0.0-20.0","wbwtgmamv4o4dwb","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","21","88327","0.0-21.0","wbwtgmamv4o4dwb","","1129.399999997986","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
"audio-keyboard-response","22","91712","0.0-22.0","wbwtgmamv4o4dwb","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","23","95474","0.0-23.0","wbwtgmamv4o4dwb","","3754.49999999546","","1","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","24","98831","0.0-24.0","wbwtgmamv4o4dwb","","null","audio/norm_reko.mp3","","null","","","",""
"html-button-response","25","99488","0.0-25.0","wbwtgmamv4o4dwb","","652.3999999990338","","0","","nsc-label-last","1-1","<img src=""img/4.png"" width=""40%"" />","<img src=""img/8.png"" width=""40%"" />"
"audio-keyboard-response","26","102871","0.0-26.0","wbwtgmamv4o4dwb","","null","audio/norm_vugim.mp3","","null","","","",""
"html-button-response","27","103827","0.0-27.0","wbwtgmamv4o4dwb","","950.4999999990105","","1","","nsc-label-last","1-1","<img src=""img/8.png"" width=""40%"" />","<img src=""img/4.png"" width=""40%"" />"
